trade_date,symbol,name,earnings_yield_pct,pe_zscore_5y,pb_zscore_5y,pe_percentile_5y,pb_percentile_5y,dividend_yield_percentile_5y,equity_risk_premium_pct,equity_bond_yield_ratio,dividend_bond_spread_pct,valuation_temperature
2026-06-03,000001,上证指数,0.814,3.7672,0.5266,98.72,66.96,5.92,-0.8988,0.4752,-0.4828,89.14
2026-06-03,000300,沪深300,4.4356,2.3897,-1.131,99.28,13.92,64.72,2.7228,2.5897,0.5412,57.52
2026-06-03,000688,科创50,0.6735,1.559,-0.2018,86.8,47.04,40.4,-1.0393,0.3932,-1.1562,64.38
2026-06-03,000852,中证1000,1.8626,1.9712,0.0315,95.52,43.36,57.12,0.1498,1.0875,-0.473,58.96
2026-06-03,000905,中证500,2.9763,0.7657,1.5369,91.6,89.36,11.76,1.2635,1.7377,-0.1357,85.5
2026-06-03,000922,中证红利,8.4604,1.5467,-0.3772,93.92,44.56,5.6,6.7476,4.9395,2.5367,80.08
2026-06-03,000985,中证全指,0.8278,1.0201,0.8544,90.64,80.56,11.04,-0.885,0.4833,-0.6773,78.06
2026-06-03,399001,深证成指,2.0154,0.3921,0.386,96.16,62.08,38.56,0.3026,1.1767,-0.291,73.84
2026-06-03,399006,创业板指,1.4162,3.1701,0.3859,98.48,67.36,58.16,-0.2966,0.8268,-0.8002,72.64
2026-06-04,000001,上证指数,0.8347,3.5914,0.3799,98.32,59.52,7.92,-0.8734,0.4887,-0.4604,86.54
2026-06-04,000300,沪深300,4.501,2.2199,-1.239,98.4,9.36,71.52,2.7929,2.6351,0.5823,53.82
2026-06-04,000688,科创50,0.7011,1.4219,-0.1549,84.88,50.72,41.92,-1.007,0.4105,-1.1451,63.54
2026-06-04,000852,中证1000,1.8943,1.838,-0.092,94.96,39.6,62.48,0.1862,1.109,-0.449,55.48
2026-06-04,000905,中证500,3.0163,0.7125,1.4079,90.24,87.28,13.2,1.3082,1.7659,-0.1117,83.64
2026-06-04,000922,中证红利,8.5618,1.4391,-0.4581,90.96,37.52,7.04,6.8537,5.0125,2.5787,76.46
2026-06-04,000985,中证全指,0.8395,0.9786,0.7103,90.08,79.12,14.48,-0.8686,0.4915,-0.6564,76.16
2026-06-04,399001,深证成指,2.0398,0.3739,0.268,95.44,59.04,43.52,0.3317,1.1942,-0.2665,71.56
2026-06-04,399006,创业板指,1.4207,3.1389,0.3205,98.32,67.04,60.56,-0.2874,0.8317,-0.7814,71.8
2026-06-05,000001,上证指数,0.841,3.5258,0.4196,98.24,61.52,7.68,-0.8797,0.4887,-0.4746,87.16
2026-06-05,000300,沪深300,4.5113,2.1889,-1.2315,98.24,9.84,71.84,2.7906,2.6218,0.5728,53.88
2026-06-05,000688,科创50,0.694,1.4534,-0.2084,85.04,46.56,42.16,-1.0267,0.4033,-1.1562,63.04
2026-06-05,000852,中证1000,1.9039,1.7979,-0.0769,94.48,39.84,62.4,0.1832,1.1065,-0.4617,55.56
2026-06-05,000905,中证500,3.0392,0.6827,1.3656,89.12,86.64,14.56,1.3185,1.7663,-0.1178,82.64
